Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify whether the admin can perform bulk action 'Delete permanently' or 'Empty trash' functionality in 'Trash' field to delete posts from trash .,RE-40,10039,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 10:33,9/8/2021 10:16,9/7/2021 10:33,9/8/2021 10:16,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-38,,,,,,,,{},,,,,,,0|i0001q:zzzzi,,RE Sprint 1,,,,,,,,Done
Verify whether the admin can perform bulk action 'Restore' functionality in 'Trash' field to restore posts from trash to all posts section.,RE-39,10038,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 10:17,9/8/2021 10:16,9/7/2021 10:45,9/8/2021 10:16,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-38,,,,,,,,{},,,,,,,0|i0001q:zzzz,,RE Sprint 1,,,,,,,,Done
As an admin I should be able to perform 'Trash' functionality in 'All posts' section of 'posts' field .,RE-38,10037,Story,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 10:12,9/8/2021 10:16,9/8/2021 9:27,9/8/2021 10:16,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0001q:zzzy,,RE Sprint 1,,,,,,,,Done
Verify when the user clicks on undo functionality the admin is able to get back the deleted post.,RE-37,10036,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 9:16,9/8/2021 10:16,9/7/2021 14:28,9/8/2021 10:16,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-36,,,,,,,,{},,,,,,,0|i0001q:zzzx,,RE Sprint 1,,,,,,,,Done
As a user I should be able to perform the 'Undo' functionality in the 'All Posts' section of 'posts' field so that I can retrieve the deleted post whenever required.,RE-36,10035,Story,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/7/2021 9:15,9/8/2021 10:16,9/8/2021 9:26,9/8/2021 10:16,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0001q:zzzm,,RE Sprint 1,,,,,,,,Done
Verify whether the user is able to delete any particular tags or category as per requirements.,RE-35,10034,Test,Blocked,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 17:18,9/8/2021 10:29,9/8/2021 10:16,,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,RE-55,RE-34,,,,,,,,{},,,,,,,0|i0001q:zzzr,,RE Sprint 1,,,,,,,,In Progress
As a user I should be able to use 'delete' functionality so that I can delete any tags or category as per choice.,RE-34,10033,Story,Blocked,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 17:04,9/8/2021 16:43,9/8/2021 9:25,,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-55,,,,,,,,{},,RE-1,,,,,0|i0001q:zzzi,,RE Sprint 1,,,,,,,,In Progress
"Verify when the user makes necessary modifications to any field and doesn't clicks on update option, then the user is not able to see the updated list.",RE-33,10032,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 16:48,9/8/2021 10:15,9/7/2021 12:21,9/8/2021 10:15,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-31,,,,,,,,{},,,,,,,0|i0001q:zzz,,RE Sprint 1,,,,,,,,Done
"Verify when the user clicks on 'update' option, the user is able to update posts, tags and category as per choice and the updated changes should be visible in the list..",RE-32,10031,Test,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 16:39,9/8/2021 10:14,9/6/2021 16:40,9/8/2021 10:14,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,RE-31,,,,,,,,{},,,,,,,0|i0001q:zzy,,RE Sprint 1,,,,,,,,Done
"As a user I should be able to use the update functionality in order to make any changes to the posts,tags or category section",RE-31,10030,Story,Done,RE,Real Estate,software,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,Medium,Done,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,9/6/2021 16:22,9/8/2021 10:14,9/8/2021 9:25,9/8/2021 10:14,,0,,,SANCHARI SINGHA ROY,612ef79fae44ae0070b4e8eb,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0001q:zzx,,RE Sprint 1,,,,,,,,Done
